ID,WAGE,OCCUPATION,SECTOR,UNION,EDUCATION,EXPERIENCE,AGE,SEX,MARR,RACE,SOUTH,FNAME,LNAME,BDAY,ADDRESS,ZIPCODE
52,14.2017323,6,1,1,16,13,35,0,1,3,0,Glen,Bowens,2/6/83,2055 Southern Street,11729
53,4.096033274,6,1,0,12,7,25,1,1,3,0,Connie,Butler,10/10/93,4388 Irish Lane,53703
54,5.918389893,6,1,0,12,16,34,1,1,3,0,Barbara,Morton,7/18/84,1773 Evergreen Lane,90017
55,5.888625533,6,0,0,13,0,19,0,0,3,0,Oscar,Spier,11/27/99,3378 Walnut Street,39208
56,6.622679824,6,1,0,12,11,29,1,0,3,0,Barbara,Fletcher,12/8/89,1338 Green Acres Road,27823
57,8.013044691,6,1,0,13,17,36,0,0,3,0,Edward,Barrett,4/5/82,3740 Confederate Drive,13088
58,5.573610572,6,1,0,10,13,29,0,1,3,0,Horace,Vogel,4/28/89,4920 Pheasant Ridge Road,19139
59,10.51562882,6,1,1,12,22,40,0,0,1,0,Johnny,Smith,7/21/78,3527 Burke Street,2210
60,5.315959511,6,1,0,12,28,46,1,1,3,0,Robin,Lawrence,6/12/72,4233 Blue Spruce Lane,21076
61,9.572743538,6,0,0,11,17,34,0,0,3,0,George,McMahan,3/17/84,601 Hinkle Deegan Lake Road,40507
62,10.53962924,6,2,1,12,24,42,0,1,3,0,Sean,Caputo,11/2/76,3520 Nuzum Court,14221
63,5.45426124,6,1,0,3,55,64,0,1,2,1,Will,Robicheaux,4/24/54,4067 Farnum Road,10048
64,6.743774766,6,2,0,12,3,21,0,0,3,1,Darwin,Gonzales,7/12/97,744 Franklin Street,36744
65,10.31754064,6,1,1,12,6,24,0,0,1,0,Herman,White,9/12/94,4352 Rogers Street,45236
66,7.996829703,6,2,0,10,27,43,0,1,3,0,Gregg,Barfield,11/13/75,4930 Koontz Lane,91601
67,8.625715023,6,1,1,12,19,37,0,1,1,1,Michael,Chandler,12/24/81,2631 Pike Street,92126
68,8.904064911,6,2,1,12,19,37,0,1,3,0,Glenn,Miracle,10/13/81,1832 Shearwood Forest Drive,3801
69,8.095614098,6,1,0,12,38,56,1,1,3,0,Erin,Richmond,6/25/62,4486 Lady Bug Drive,11101
70,6.62678095,6,1,1,10,41,57,0,1,1,1,Ricardo,McLeod,4/22/61,1571 Cottonwood Lane,37207
71,7.330641037,6,1,0,11,3,20,0,0,1,1,Christopher,Mayer,12/25/98,236 Cantebury Drive,10013
72,10.38743133,6,0,1,14,20,40,0,1,3,0,Ralph,Ross,10/17/78,915 Birch  Street,79901
73,5.685113063,6,0,0,10,15,31,0,1,3,0,David,Curran,1/24/87,4368 Park Boulevard,50472
74,3.262270171,6,1,0,8,8,22,0,1,2,1,German,Willis,1/22/96,569 Kenwood Place,33442
75,8.039427725,6,1,0,8,39,53,1,1,3,1,Mildred,Ross,1/13/65,844 Colonial Drive,77461
76,4.920967201,6,1,1,6,43,55,1,1,2,0,Irma,Myers,6/24/63,1075 Maple Lane,35901
77,9.206736122,6,1,1,11,25,42,1,1,3,1,Anna,Altman,2/24/76,1811 Confederate Drive,13206
78,9.335823263,6,0,1,12,11,29,0,1,3,0,Fernando,Rice,12/8/89,259 Mayo Street,41042
79,9.736843167,6,0,0,12,12,30,0,1,1,0,George,Irvine,11/11/88,1458 Fairfax Drive,8854
80,10.11664226,6,1,1,12,35,53,0,1,3,1,Ed,Way,8/28/65,2529 Aaron Smith Drive,17401
81,8.358195968,6,0,0,14,14,34,0,0,3,0,Thomas,Becnel,2/15/84,3635 Oakdale Avenue,33440
82,11.37826475,6,0,1,12,16,34,0,1,3,0,Eddie,Herren,9/14/84,420 Stratford Park,47458
83,6.878997462,6,1,1,10,44,60,1,0,3,0,Dorothy,Brooks,3/14/58,1943 Irving Place,63366
84,7.015824697,6,0,0,16,13,35,1,0,3,1,Robin,Thompson,11/20/83,2246 Russell Street,2141
85,10.09797318,6,1,1,13,8,27,0,0,1,0,Theodore,Ducan,5/24/91,1871 Hiney Road,89119
86,6.778961976,6,1,0,12,13,31,0,0,3,0,Matthew,Walker,3/17/87,65 Waldeck Street,75247
87,11.54307111,6,0,1,11,18,35,0,1,3,0,Sean,Melville,2/19/83,3023 White Oak Drive,64108
88,8.468876855,6,0,0,12,18,36,1,1,3,0,Shelby,Jorge,8/20/82,2401 Sycamore Lake Road,53081
89,5.191347168,6,0,0,12,6,24,1,0,3,1,Vikki,New,11/6/94,3343 Rebecca Street,60607
90,8.728510736,6,1,1,11,37,54,0,1,3,1,Rodney,Staley,12/17/64,189 Russell Street,1840
91,8.482349554,6,1,0,12,2,20,0,1,3,1,Bruce,Marrufo,1/3/99,3743 West Fork Drive,33324
92,10.05979621,6,1,0,12,23,41,0,1,3,0,John,Baker,1/21/77,3140 Oakridge Lane,75234
93,7.411552562,6,0,0,12,1,19,0,0,3,0,Elmer,Attwood,12/17/99,4206 Ruckman Road,73110
94,6.457161218,6,1,0,12,10,28,1,1,1,1,Elinor,Kendrick,10/4/90,1643 Johnson Street,27601
95,9.48595125,6,1,0,12,23,41,0,1,3,0,Chris,Perez,6/17/77,4158 Sycamore Street,95127
96,6.37363137,6,0,1,12,8,26,0,1,1,0,Douglas,Rhoades,11/2/92,2955 Irving Road,43081
97,7.602861147,6,1,0,15,9,30,1,1,3,0,Sharon,Holliman,8/5/88,2629 Filbert Street,19020
98,13.57560388,6,2,1,12,33,51,0,1,3,0,Damien,Hoover,11/17/67,3066 Austin Avenue,31401
99,6.744394878,6,1,0,12,19,37,1,1,3,0,Dorothy,White,9/27/81,810 Filbert Street,19103
100,7.392554931,6,0,0,13,14,33,0,1,3,0,Jeffrey,Nunez,2/12/85,1505 Poplar Lane,33165
101,6.432410944,6,0,1,11,13,30,0,1,3,0,Dustin,Clifton,10/2/88,4284 Trainer Avenue,52803
102,2.481827462,6,2,0,10,12,28,0,1,3,0,Anthony,Tillman,3/1/90,2852 Hill Croft Farm Road,95926
103,8.920616179,6,0,0,12,8,26,0,0,3,0,Dan,Lander,11/15/92,1745 Sunrise Road,89119
104,8.896055118,6,1,0,12,23,41,0,1,3,0,Randy,Jones,3/31/77,4035 Sharon Lane,46563
105,6.370875823,6,1,0,14,13,33,1,0,3,0,Kelley,Clark,11/5/85,1567 Lena Lane,39157
106,8.114375625,6,0,0,12,9,27,0,1,3,1,Randall,Tsosie,6/27/91,2836 Virginia Street,60062
107,8.894046922,6,0,1,14,21,41,0,1,3,0,Harrison,Partin,5/15/77,1940 Elk City Road,71101
108,3.084050965,6,2,0,5,44,55,0,1,3,1,James,Sandoval,11/10/63,4949 Skips Lane,85553
109,7.936978328,6,0,1,12,4,22,0,1,3,0,George,Sandifer,11/3/96,3519 Ridge Road,67330
110,8.409897283,6,1,0,8,42,56,0,1,3,0,Roger,Milburn,6/24/62,4991 Graystone Lakes,31213
111,6.726174792,6,0,1,13,10,29,0,1,3,0,Rodney,Hudson,4/30/89,508 Maud Street,19801
112,5.162211282,6,2,0,12,11,29,0,0,3,0,Danny,Geis,3/5/89,2907 Northwest Boulevard,20008
113,9.457970535,6,2,1,12,40,58,0,1,3,0,Alfred,Peterson,7/28/60,3252 Hartland Avenue,54303
114,9.65786825,6,2,0,12,8,26,0,0,3,0,Otis,Klein,11/30/92,2474 Traction Street,29339
115,8.75597865,6,2,0,11,29,46,0,1,3,1,Ellis,Shutt,5/25/72,305 Tanglewood Road,38654
116,7.787067167,6,0,1,16,3,25,0,0,3,0,Nicholas,Williams,10/15/93,3434 Court Street,63146
117,7.469712769,6,2,0,11,11,28,0,0,3,0,Phillip,Gustavson,4/27/90,2363 Abner Road,54487
118,7.927441938,6,0,1,12,12,30,0,1,3,0,Robert,Moore,12/31/88,4368 Pleasant Hill Road,90706
119,9.800935962,6,0,0,8,22,36,1,1,2,0,Sarah,Bowser,2/5/82,560 Collins Avenue,43215
120,7.245869356,6,0,0,12,12,30,0,1,3,0,Alexander,Perez,1/30/88,4871 Charmaine Lane,79373
121,8.529201786,6,0,1,12,7,25,0,1,3,0,Scott,Skidmore,5/1/93,1513 Ashmor Drive,56501
122,8.970103795,6,1,0,12,15,33,1,0,3,0,Gina,Stimpson,6/13/85,3324 Marie Street,20707
123,9.441645428,6,0,0,12,28,46,0,1,3,0,Peter,Howard,9/17/72,3639 Lady Bug Drive,81212
124,10.89673213,6,1,1,12,20,38,0,1,3,1,Norman,Driscoll,4/16/80,4684 Palmer Road,43085
125,7.061026523,6,2,0,12,6,24,0,0,3,1,Matthew,Rife,11/6/94,4536 Waterview Lane,87109
126,6.909604495,6,1,0,12,5,23,0,0,3,1,Manuel,Zamorano,3/3/95,2266 Bel Meadow Drive,91761
127,5.609844474,6,1,0,9,30,45,1,1,3,1,Blanche,Stephens,10/6/73,2528 Blane Street,63104
128,9.249086046,6,0,0,13,18,37,0,1,3,0,Hugh,Allison,1/4/82,2236 Sussex Court,76541
129,3.989785271,6,1,0,12,6,24,1,1,1,1,Berniece,Costello,4/30/94,4730 Leverton Cove Road,1109
130,9.127677213,6,0,0,12,16,34,0,0,2,1,Alejandro,O'Neill,8/21/84,2309 Eden Drive,23803
131,5.46064574,6,0,1,12,1,19,0,0,2,1,Richard,Easterwood,9/28/99,2404 Seltice Way,83814
132,8.005685867,6,1,0,12,3,21,0,0,3,0,Santos,Anderson,10/25/97,1605 Woodhill Avenue,20705
133,6.936213938,6,0,0,12,8,26,0,1,3,0,George,Kittelson,6/20/92,2947 McDonald Avenue,32803
134,8.029337166,6,1,0,14,2,22,0,0,3,0,Daren,Baker,1/6/97,1753 Jim Rosa Lane,94920
135,5.18613644,6,1,0,9,16,31,0,0,1,0,Derrick,Morris,11/10/87,885 Hall Street,89101
136,7.255590338,6,2,0,10,9,25,0,1,3,1,Shane,Cooper,10/18/93,3425 Grasselli Street,5101
137,5.571333404,6,0,0,12,2,20,0,0,3,0,Joseph,Kipp,8/5/98,2205 Blackwell Street,99737
138,5.88547871,6,1,0,7,43,56,0,1,3,1,Clarence,Nathaniel,9/11/62,770 Hayhurst Lane,48219
139,8.527153761,6,1,0,9,38,53,0,1,3,0,Daniel,Bingham,4/16/65,1760 Johnny Lane,53202
140,8.079983224,6,0,0,12,9,27,0,1,3,0,Michael,Knight,4/26/91,1060 Bingamon Branch Road,10990
141,8.023867784,6,0,0,12,12,30,0,1,3,1,Gregory,Long,9/19/88,2082 Tanglewood Road,39337
142,10.15906053,6,1,0,12,18,36,0,1,3,0,Scott,Kish,12/7/82,163 Cardinal Lane,44115
143,7.504361593,6,1,1,11,15,32,0,0,3,0,Scott,Mitchell,8/11/86,1703 West Fork Drive,33176
144,9.48244852,6,2,1,11,28,45,0,1,1,1,Roy,Brewer,1/12/73,4774 Rollins Road,69346
145,6.686294613,6,2,1,10,27,43,0,1,3,1,William,Sokolowski,8/26/75,4400 Adams Avenue,20707
146,8.641455834,6,0,0,12,38,56,0,1,3,1,Timothy,Greenwood,10/22/62,673 Deer Ridge Drive,7201
147,3.632279913,6,1,0,12,3,21,1,0,3,0,Jodi,Bradley,10/13/97,1930 Timberbrook Lane,80202
148,11.72378947,6,0,1,12,41,59,0,1,3,0,Sheldon,Love,12/2/59,2229 Westwood Avenue,11716
149,9.107630524,6,0,1,12,16,34,0,1,3,1,Frank,Tanner,2/14/84,3053 Haul Road,94041
150,4.864915839,6,1,0,13,7,26,0,1,3,1,Lynn,Phillips,7/3/92,3208 Hillhaven Drive,90063
151,3.475216158,6,1,0,6,33,45,1,0,1,1,Annie,Moore,1/7/74,3509 Weekley Street,78205
152,10.00906055,6,1,0,14,25,45,0,1,3,0,Harold,Arthur,10/11/73,47 Chestnut Street,34642
153,6.038403709,6,0,0,12,5,23,0,1,3,1,Dan,Kincer,5/14/95,3809 Pride Avenue,11206
154,8.693844122,6,0,0,14,17,37,0,0,1,1,James,Gary,5/20/81,2131 Heavner Avenue,30071
155,5.483520152,6,0,0,12,1,19,0,0,3,1,Francis,Ulmer,8/17/99,1837 Payne Street,24641
156,7.314964929,6,1,0,12,13,31,0,1,3,0,John,Bertsch,10/5/87,2893 Point Street,60620
157,15.10564507,1,0,0,16,18,40,0,1,3,0,Albert,Marshall,3/5/78,1892 Ray Court,28401
158,10.70983604,1,0,0,14,21,41,0,1,3,1,Barry,Hamrick,4/4/77,24 Ben Street,12205
159,8.280204124,1,0,0,14,2,22,0,0,3,0,Robert,Holle,5/19/96,1716 Birch  Street,79924
160,7.274671822,1,0,0,12,4,22,1,0,2,1,Angela,Perkins,2/1/96,4588 Center Street,97401
161,9.738827357,1,0,0,12,30,48,1,1,2,1,Alison,Steck,10/18/70,2406 Marshall Street,21218
162,10.61762102,1,0,0,13,32,51,0,0,3,0,Christopher,Sartor,10/5/67,2487 Bridge Avenue,70658
163,9.071625336,1,0,0,17,13,36,1,1,3,0,Phyllis,Barnett,2/23/82,4110 Luke Lane,74601
164,9.319294011,1,0,0,12,17,35,0,0,3,0,Juan,McGhee,1/12/83,4430 Small Street,10017
165,9.791827257,1,0,0,14,26,46,1,1,3,0,Edna,Allen,7/31/72,2564 Lakeland Park Drive,30501
166,11.38456455,1,0,0,16,9,31,0,0,3,0,Matthew,Elms,2/16/87,266 Hilltop Haven Drive,7102
167,9.135958365,1,0,0,16,8,30,0,0,1,0,Julio,Toribio,12/9/88,4251 Pineview Drive,56042
168,12.40489619,1,0,1,15,1,22,0,1,3,0,Wesley,Bates,10/31/96,3939 Armbrester Drive,90505
169,14.88303306,1,0,0,17,32,55,0,1,3,1,Scott,Hollingshead,7/2/63,3670 John Avenue,49201
170,7.136571119,1,0,0,12,24,42,1,1,3,0,Jennifer,Sorenson,10/14/76,3458 Better Street,64105
171,8.345080614,1,0,0,14,1,21,1,0,3,0,Dorcas,Tillotson,7/9/97,3970 Myra Street,2904
172,10.53800019,1,1,0,12,42,60,0,1,3,0,Jose,Huffman,3/18/58,1920 Platinum Drive,15205
173,5.851907236,1,1,0,16,3,25,1,0,1,0,Betty,Smith,12/8/93,778 Goldcliff Circle,20005
174,9.346576666,1,0,0,12,32,50,1,1,3,0,Lorena,Reedy,11/25/68,2802 Larry Street,53233
175,11.768799,1,0,0,14,22,42,0,0,1,0,Thomas,Schafer,4/8/76,2785 Hoffman Avenue,10013
176,11.59761364,1,0,0,16,18,40,0,1,3,0,Jeff,Hertzog,3/14/78,4124 Byrd Lane,87102
177,13.16994431,1,0,0,18,19,43,1,1,3,0,Dorothy,Summers,12/10/75,3347 Parker Drive,44115
178,10.41110178,1,0,0,15,12,33,0,1,3,0,Jerry,Rondeau,9/17/85,884 Conifer Drive,98168
179,8.941199904,1,0,0,12,42,60,1,1,3,0,Heather,Dunn,8/9/58,4001 Clinton Street,72046
180,10.5577965,1,0,0,12,34,52,0,1,3,1,Robert,Pastrana,5/22/66,4515 Radford Street,40242
181,16.25944585,1,0,0,18,29,53,0,1,3,0,Carlton,Newberry,5/26/65,2598 Irish Lane,53562
182,8.165246601,1,0,0,16,8,30,0,0,3,1,Robert,Fernandez,2/4/88,3380 Ferguson Street,1757
183,15.64221063,1,1,0,18,13,37,0,0,3,0,Richard,Ballard,2/23/81,3884 Sugarfoot Lane,46225
184,9.922500438,1,0,0,16,10,32,0,0,3,0,Stephen,McCusker,5/3/86,1415 Clair Street,76102
185,15.81652471,1,0,0,16,22,44,0,1,3,0,Sergio,Garrison,6/1/74,750 Buckhannan Avenue,13224
186,14.71017292,1,0,0,16,10,32,0,1,3,1,William,Kramer,10/21/86,4881 Christie Way,2199
187,13.20185784,1,0,0,17,15,38,1,1,3,0,Myrna,Anderson,5/10/80,242 Renwick Drive,19034
188,7.913089014,1,0,0,12,26,44,0,1,3,0,Kristopher,Carter,1/26/74,1720 Byrd Lane,87020
189,10.35555973,1,0,0,14,16,36,0,0,3,0,Charles,Lund,1/6/83,2231 Farm Meadow Drive,37209
190,12.53375417,1,0,0,18,14,38,1,1,3,0,Judy,Deyoung,8/21/80,1281 Elmwood Avenue,85225
191,9.216092989,1,0,0,12,38,56,1,1,3,0,Bonnie,Weight,2/16/62,827 Mulberry Avenue,72211
192,10.1241343,1,0,0,12,14,32,0,1,1,1,Gary,Champion,10/31/86,771 Browning Lane,13101
193,5.488796476,1,0,0,12,7,25,1,1,3,0,Phyllis,Garrido,1/2/94,1669 Watson Street,8052
194,10.10777855,1,0,0,18,13,37,1,0,3,1,Vanessa,Johnson,6/26/81,3648 Pheasant Ridge Road,19103
195,6.629747047,1,0,0,10,20,36,0,1,3,0,Michael,Carlson,8/31/82,3975 Feathers Hooves Drive,11714
196,14.18031926,1,0,1,16,7,29,0,1,2,0,William,Hunter,7/14/89,1512 Pineview Drive,51347
197,11.82194142,1,0,0,16,26,48,1,1,3,0,Elaine,Meadows,2/25/70,3531 Oakdale Avenue,33825
198,13.68828507,1,0,0,16,14,36,0,1,3,0,Theodore,Holbrook,12/26/82,2499 Oakdale Avenue,33823
199,11.59221625,1,0,0,13,36,55,0,0,3,0,Robert,Okamoto,12/9/63,2638 Bridge Avenue,70583
200,10.21482291,1,0,0,12,24,42,0,1,3,0,Daniel,Whitehair,10/15/76,574 Frederick Street,95823
201,14.45461182,1,0,0,14,41,61,0,1,3,1,Jason,Volpe,12/24/57,252 McDowell Street,37052
202,9.225176704,1,0,0,16,7,29,0,1,1,0,Alan,Montes,2/19/89,3847 Fraggle Drive,60173
203,12.03720719,1,0,0,17,14,37,0,0,3,1,Joshua,Agar,7/7/81,4747 Franklin Avenue,78476
204,5.345439916,1,0,0,12,1,19,1,0,3,1,Ella,Gardner,10/11/99,4100 Clark Street,60515
205,10.40115963,1,1,0,16,6,28,1,1,3,0,Joyce,Armstrong,10/19/90,227 Cost Avenue,20027
206,6.938494875,1,0,0,12,3,21,1,1,3,0,Patricia,Harding,6/14/97,2959 Edwards Street,28560
207,13.68197609,1,0,0,15,31,52,0,1,3,0,Robert,Despain,1/24/66,3800 Centennial Farm Road,51249
208,7.425921754,1,1,0,13,14,33,1,1,3,0,Ruth,Ceballos,11/22/85,4444 Ben Street,12210
209,9.912441467,1,0,0,14,13,33,1,1,3,0,Louise,McMahon,11/1/85,3091 Jones Avenue,27265
210,17.12643504,1,1,1,16,26,48,0,1,1,0,Bernard,Harris,5/21/70,4918 Melm Street,2852
211,14.91492565,1,0,0,18,14,38,0,1,3,0,Edward,Johnson,3/8/80,3154 Pointe Lane,33024
212,8.472913792,2,0,0,13,33,52,1,1,3,0,Patricia,Gross,12/2/66,2351 Roy Alley,80123
213,9.331255091,2,0,0,12,16,34,0,1,3,0,Whitney,Ash,2/28/84,870 Del Dew Drive,20770
214,11.52650864,2,0,0,18,10,34,0,1,3,0,John,Salazar,10/17/84,2872 Garrett Street,19108
215,8.876010959,2,0,0,14,22,42,0,0,3,0,Joseph,Schley,4/13/76,2670 Gore Street,77006
216,5.405142821,2,0,0,14,2,22,0,0,3,0,Christian,Finnell,4/24/96,2868 Rosewood Lane,10016
217,4.87954604,2,0,0,12,29,47,1,1,3,1,Regina,Winn,6/16/71,681 Thunder Road,94063
218,7.751205051,2,1,0,12,43,61,0,1,3,0,Shannon,Bobbitt,1/4/58,2620 Pyramid Valley Road,52632
219,4.158725974,2,0,0,12,5,23,1,1,3,0,Wanda,Speed,6/13/95,1723 Thomas Street,60062
220,5.765754956,2,0,0,16,14,36,1,1,1,1,Alexandra,Snavely,3/9/82,3700 Clement Street,30303
221,10.1432864,2,0,0,12,28,46,0,1,3,1,Harry,Hedley,10/7/72,3588 Hiney Road,58374
222,5.057540928,2,0,0,11,25,42,1,1,1,1,April,Tyler,5/18/76,2662 Fancher Drive,75212
223,7.931919889,2,0,0,12,45,63,1,1,3,0,Juanita,Cox,11/30/55,2756 Boone Street,77995
224,5.536155148,2,0,0,14,5,25,0,0,3,1,Manuel,Moore,5/6/93,3430 Parker Drive,44115
225,7.21236207,2,1,0,12,20,38,0,1,3,1,Kyle,Williamson,8/3/80,1070 Briarwood Road,64769
226,5.383271439,2,0,0,16,6,28,1,1,3,0,Judith,Brunner,11/18/90,4783 Church Street,11201
227,12.08885454,2,0,0,16,16,38,0,1,3,0,Sylvester,Duffy,5/27/80,969 Tanglewood Road,38801
228,4.437387364,2,0,0,11,33,50,1,1,3,0,Paula,Brownlee,10/6/68,4911 Barrington Court,72024
229,2.331108995,2,0,0,13,2,21,1,1,3,1,Elizabeth,Murphy,8/12/97,2458 Sycamore Lake Road,54304
230,4.786540707,2,0,0,12,10,28,1,0,3,1,Vivian,Wood,10/23/90,70 Diamond Street,28801
231,10.31141491,2,0,0,14,44,64,0,1,3,1,Anthony,Shelton,8/5/54,3125 Bates Brothers Road,43081
232,8.154492979,2,0,0,14,6,26,1,1,3,1,Andrea,Cole,9/23/92,837 Leroy Lane,57702
233,6.884199745,2,0,0,12,15,33,1,0,3,0,Kara,Dykema,5/27/85,1939 Pheasant Ridge Road,19103
234,3.827978223,2,0,0,12,5,23,0,1,3,0,William,Jefferson,7/21/95,4304 Neuport Lane,30084
235,5.691521406,2,1,0,13,4,23,1,1,3,0,Bethany,Estep,1/19/95,1620 Bridge Avenue,70663
236,9.249441378,2,0,0,14,14,34,0,1,3,0,Evan,Muro,2/18/84,1194 Bassel Street,70123
237,10.42755047,2,0,0,14,32,52,1,1,3,0,Cheri,Ochoa,9/7/66,3650 Boring Lane,94005
238,6.364913328,2,0,0,12,14,32,1,1,3,0,Darlene,Scott,4/15/86,4783 Hardesty Street,12207
239,8.664037717,2,0,0,14,21,41,0,1,3,0,Vernon,Doyle,1/26/77,32 Ridenour Street,33064
240,9.704711356,2,0,1,12,43,61,0,1,3,0,Timothy,Dowd,9/21/57,1678 Alexander Drive,76259
241,5.734797531,2,0,0,12,27,45,1,1,1,1,Melba,Hunter,6/2/73,3259 Jennifer Lane,27601
242,2.770786232,2,0,0,12,4,22,1,0,3,0,Victoria,Butler,3/21/96,1480 Sampson Street,80136
