"ID","OCCUPATION","SECTOR","UNION","EDUCATION","EXPERIENCE","AGE","SEX","MARR","RACE","SOUTH","FNAME","LNAME","ADDRESS","ZIPCODE"
"52",6,1,1,16,13,35,0,1,3,0,"Glen","Bowens","2055 Southern Street",11729
"53",6,1,0,12,7,25,1,1,3,0,"Connie","Butler","4388 Irish Lane",53703
"54",6,1,0,12,16,34,1,1,3,0,"Barbara","Morton","1773 Evergreen Lane",90017
"55",6,0,0,13,0,19,0,0,3,0,"Oscar","Spier","3378 Walnut Street",39208
"56",6,1,0,12,11,29,1,0,3,0,"Barbara","Fletcher","1338 Green Acres Road",27823
"57",6,1,0,13,17,36,0,0,3,0,"Edward","Barrett","3740 Confederate Drive",13088
"58",6,1,0,10,13,29,0,1,3,0,"Horace","Vogel","4920 Pheasant Ridge Road",19139
"59",6,1,1,12,22,40,0,0,1,0,"Johnny","Smith","3527 Burke Street",2210
"60",6,1,0,12,28,46,1,1,3,0,"Robin","Lawrence","4233 Blue Spruce Lane",21076
"61",6,0,0,11,17,34,0,0,3,0,"George","McMahan","601 Hinkle Deegan Lake Road",40507
"62",6,2,1,12,24,42,0,1,3,0,"Sean","Caputo","3520 Nuzum Court",14221
"63",6,1,0,3,55,64,0,1,2,1,"Will","Robicheaux","4067 Farnum Road",10048
"64",6,2,0,12,3,21,0,0,3,1,"Darwin","Gonzales","744 Franklin Street",36744
"65",6,1,1,12,6,24,0,0,1,0,"Herman","White","4352 Rogers Street",45236
"66",6,2,0,10,27,43,0,1,3,0,"Gregg","Barfield","4930 Koontz Lane",91601
"67",6,1,1,12,19,37,0,1,1,1,"Michael","Chandler","2631 Pike Street",92126
"68",6,2,1,12,19,37,0,1,3,0,"Glenn","Miracle","1832 Shearwood Forest Drive",3801
"69",6,1,0,12,38,56,1,1,3,0,"Erin","Richmond","4486 Lady Bug Drive",11101
"70",6,1,1,10,41,57,0,1,1,1,"Ricardo","McLeod","1571 Cottonwood Lane",37207
"71",6,1,0,11,3,20,0,0,1,1,"Christopher","Mayer","236 Cantebury Drive",10013
"72",6,0,1,14,20,40,0,1,3,0,"Ralph","Ross","915 Birch  Street",79901
"73",6,0,0,10,15,31,0,1,3,0,"David","Curran","4368 Park Boulevard",50472
"74",6,1,0,8,8,22,0,1,2,1,"German","Willis","569 Kenwood Place",33442
"75",6,1,0,8,39,53,1,1,3,1,"Mildred","Ross","844 Colonial Drive",77461
"76",6,1,1,6,43,55,1,1,2,0,"Irma","Myers","1075 Maple Lane",35901
"77",6,1,1,11,25,42,1,1,3,1,"Anna","Altman","1811 Confederate Drive",13206
"78",6,0,1,12,11,29,0,1,3,0,"Fernando","Rice","259 Mayo Street",41042
"79",6,0,0,12,12,30,0,1,1,0,"George","Irvine","1458 Fairfax Drive",8854
"80",6,1,1,12,35,53,0,1,3,1,"Ed","Way","2529 Aaron Smith Drive",17401
"81",6,0,0,14,14,34,0,0,3,0,"Thomas","Becnel","3635 Oakdale Avenue",33440
"82",6,0,1,12,16,34,0,1,3,0,"Eddie","Herren","420 Stratford Park",47458
"83",6,1,1,10,44,60,1,0,3,0,"Dorothy","Brooks","1943 Irving Place",63366
"84",6,0,0,16,13,35,1,0,3,1,"Robin","Thompson","2246 Russell Street",2141
"85",6,1,1,13,8,27,0,0,1,0,"Theodore","Ducan","1871 Hiney Road",89119
"86",6,1,0,12,13,31,0,0,3,0,"Matthew","Walker","65 Waldeck Street",75247
"87",6,0,1,11,18,35,0,1,3,0,"Sean","Melville","3023 White Oak Drive",64108
"88",6,0,0,12,18,36,1,1,3,0,"Shelby","Jorge","2401 Sycamore Lake Road",53081
"89",6,0,0,12,6,24,1,0,3,1,"Vikki","New","3343 Rebecca Street",60607
"90",6,1,1,11,37,54,0,1,3,1,"Rodney","Staley","189 Russell Street",1840
"91",6,1,0,12,2,20,0,1,3,1,"Bruce","Marrufo","3743 West Fork Drive",33324
"92",6,1,0,12,23,41,0,1,3,0,"John","Baker","3140 Oakridge Lane",75234
"93",6,0,0,12,1,19,0,0,3,0,"Elmer","Attwood","4206 Ruckman Road",73110
"94",6,1,0,12,10,28,1,1,1,1,"Elinor","Kendrick","1643 Johnson Street",27601
"95",6,1,0,12,23,41,0,1,3,0,"Chris","Perez","4158 Sycamore Street",95127
"96",6,0,1,12,8,26,0,1,1,0,"Douglas","Rhoades","2955 Irving Road",43081
"97",6,1,0,15,9,30,1,1,3,0,"Sharon","Holliman","2629 Filbert Street",19020
"98",6,2,1,12,33,51,0,1,3,0,"Damien","Hoover","3066 Austin Avenue",31401
"99",6,1,0,12,19,37,1,1,3,0,"Dorothy","White","810 Filbert Street",19103
"100",6,0,0,13,14,33,0,1,3,0,"Jeffrey","Nunez","1505 Poplar Lane",33165
"101",6,0,1,11,13,30,0,1,3,0,"Dustin","Clifton","4284 Trainer Avenue",52803
"102",6,2,0,10,12,28,0,1,3,0,"Anthony","Tillman","2852 Hill Croft Farm Road",95926
"103",6,0,0,12,8,26,0,0,3,0,"Dan","Lander","1745 Sunrise Road",89119
"104",6,1,0,12,23,41,0,1,3,0,"Randy","Jones","4035 Sharon Lane",46563
"105",6,1,0,14,13,33,1,0,3,0,"Kelley","Clark","1567 Lena Lane",39157
"106",6,0,0,12,9,27,0,1,3,1,"Randall","Tsosie","2836 Virginia Street",60062
"107",6,0,1,14,21,41,0,1,3,0,"Harrison","Partin","1940 Elk City Road",71101
"108",6,2,0,5,44,55,0,1,3,1,"James","Sandoval","4949 Skips Lane",85553
"109",6,0,1,12,4,22,0,1,3,0,"George","Sandifer","3519 Ridge Road",67330
"110",6,1,0,8,42,56,0,1,3,0,"Roger","Milburn","4991 Graystone Lakes",31213
"111",6,0,1,13,10,29,0,1,3,0,"Rodney","Hudson","508 Maud Street",19801
"112",6,2,0,12,11,29,0,0,3,0,"Danny","Geis","2907 Northwest Boulevard",20008
"113",6,2,1,12,40,58,0,1,3,0,"Alfred","Peterson","3252 Hartland Avenue",54303
"114",6,2,0,12,8,26,0,0,3,0,"Otis","Klein","2474 Traction Street",29339
"115",6,2,0,11,29,46,0,1,3,1,"Ellis","Shutt","305 Tanglewood Road",38654
"116",6,0,1,16,3,25,0,0,3,0,"Nicholas","Williams","3434 Court Street",63146
"117",6,2,0,11,11,28,0,0,3,0,"Phillip","Gustavson","2363 Abner Road",54487
"118",6,0,1,12,12,30,0,1,3,0,"Robert","Moore","4368 Pleasant Hill Road",90706
"119",6,0,0,8,22,36,1,1,2,0,"Sarah","Bowser","560 Collins Avenue",43215
"120",6,0,0,12,12,30,0,1,3,0,"Alexander","Perez","4871 Charmaine Lane",79373
"121",6,0,1,12,7,25,0,1,3,0,"Scott","Skidmore","1513 Ashmor Drive",56501
"122",6,1,0,12,15,33,1,0,3,0,"Gina","Stimpson","3324 Marie Street",20707
"123",6,0,0,12,28,46,0,1,3,0,"Peter","Howard","3639 Lady Bug Drive",81212
"124",6,1,1,12,20,38,0,1,3,1,"Norman","Driscoll","4684 Palmer Road",43085
"125",6,2,0,12,6,24,0,0,3,1,"Matthew","Rife","4536 Waterview Lane",87109
"126",6,1,0,12,5,23,0,0,3,1,"Manuel","Zamorano","2266 Bel Meadow Drive",91761
"127",6,1,0,9,30,45,1,1,3,1,"Blanche","Stephens","2528 Blane Street",63104
"128",6,0,0,13,18,37,0,1,3,0,"Hugh","Allison","2236 Sussex Court",76541
"129",6,1,0,12,6,24,1,1,1,1,"Berniece","Costello","4730 Leverton Cove Road",1109
"130",6,0,0,12,16,34,0,0,2,1,"Alejandro","O'Neill","2309 Eden Drive",23803
"131",6,0,1,12,1,19,0,0,2,1,"Richard","Easterwood","2404 Seltice Way",83814
"132",6,1,0,12,3,21,0,0,3,0,"Santos","Anderson","1605 Woodhill Avenue",20705
"133",6,0,0,12,8,26,0,1,3,0,"George","Kittelson","2947 McDonald Avenue",32803
"134",6,1,0,14,2,22,0,0,3,0,"Daren","Baker","1753 Jim Rosa Lane",94920
"135",6,1,0,9,16,31,0,0,1,0,"Derrick","Morris","885 Hall Street",89101
"136",6,2,0,10,9,25,0,1,3,1,"Shane","Cooper","3425 Grasselli Street",5101
"137",6,0,0,12,2,20,0,0,3,0,"Joseph","Kipp","2205 Blackwell Street",99737
"138",6,1,0,7,43,56,0,1,3,1,"Clarence","Nathaniel","770 Hayhurst Lane",48219
"139",6,1,0,9,38,53,0,1,3,0,"Daniel","Bingham","1760 Johnny Lane",53202
"140",6,0,0,12,9,27,0,1,3,0,"Michael","Knight","1060 Bingamon Branch Road",10990
"141",6,0,0,12,12,30,0,1,3,1,"Gregory","Long","2082 Tanglewood Road",39337
"142",6,1,0,12,18,36,0,1,3,0,"Scott","Kish","163 Cardinal Lane",44115
"143",6,1,1,11,15,32,0,0,3,0,"Scott","Mitchell","1703 West Fork Drive",33176
"144",6,2,1,11,28,45,0,1,1,1,"Roy","Brewer","4774 Rollins Road",69346
"145",6,2,1,10,27,43,0,1,3,1,"William","Sokolowski","4400 Adams Avenue",20707
"146",6,0,0,12,38,56,0,1,3,1,"Timothy","Greenwood","673 Deer Ridge Drive",7201
"147",6,1,0,12,3,21,1,0,3,0,"Jodi","Bradley","1930 Timberbrook Lane",80202
"148",6,0,1,12,41,59,0,1,3,0,"Sheldon","Love","2229 Westwood Avenue",11716
"149",6,0,1,12,16,34,0,1,3,1,"Frank","Tanner","3053 Haul Road",94041
"150",6,1,0,13,7,26,0,1,3,1,"Lynn","Phillips","3208 Hillhaven Drive",90063
"151",6,1,0,6,33,45,1,0,1,1,"Annie","Moore","3509 Weekley Street",78205
"152",6,1,0,14,25,45,0,1,3,0,"Harold","Arthur","47 Chestnut Street",34642
"153",6,0,0,12,5,23,0,1,3,1,"Dan","Kincer","3809 Pride Avenue",11206
"154",6,0,0,14,17,37,0,0,1,1,"James","Gary","2131 Heavner Avenue",30071
"155",6,0,0,12,1,19,0,0,3,1,"Francis","Ulmer","1837 Payne Street",24641
"156",6,1,0,12,13,31,0,1,3,0,"John","Bertsch","2893 Point Street",60620
"157",1,0,0,16,18,40,0,1,3,0,"Albert","Marshall","1892 Ray Court",28401
"158",1,0,0,14,21,41,0,1,3,1,"Barry","Hamrick","24 Ben Street",12205
"159",1,0,0,14,2,22,0,0,3,0,"Robert","Holle","1716 Birch  Street",79924
"160",1,0,0,12,4,22,1,0,2,1,"Angela","Perkins","4588 Center Street",97401
"161",1,0,0,12,30,48,1,1,2,1,"Alison","Steck","2406 Marshall Street",21218
"162",1,0,0,13,32,51,0,0,3,0,"Christopher","Sartor","2487 Bridge Avenue",70658
"163",1,0,0,17,13,36,1,1,3,0,"Phyllis","Barnett","4110 Luke Lane",74601
"164",1,0,0,12,17,35,0,0,3,0,"Juan","McGhee","4430 Small Street",10017
"165",1,0,0,14,26,46,1,1,3,0,"Edna","Allen","2564 Lakeland Park Drive",30501
"166",1,0,0,16,9,31,0,0,3,0,"Matthew","Elms","266 Hilltop Haven Drive",7102
"167",1,0,0,16,8,30,0,0,1,0,"Julio","Toribio","4251 Pineview Drive",56042
"168",1,0,1,15,1,22,0,1,3,0,"Wesley","Bates","3939 Armbrester Drive",90505
"169",1,0,0,17,32,55,0,1,3,1,"Scott","Hollingshead","3670 John Avenue",49201
"170",1,0,0,12,24,42,1,1,3,0,"Jennifer","Sorenson","3458 Better Street",64105
"171",1,0,0,14,1,21,1,0,3,0,"Dorcas","Tillotson","3970 Myra Street",2904
"172",1,1,0,12,42,60,0,1,3,0,"Jose","Huffman","1920 Platinum Drive",15205
"173",1,1,0,16,3,25,1,0,1,0,"Betty","Smith","778 Goldcliff Circle",20005
"174",1,0,0,12,32,50,1,1,3,0,"Lorena","Reedy","2802 Larry Street",53233
"175",1,0,0,14,22,42,0,0,1,0,"Thomas","Schafer","2785 Hoffman Avenue",10013
"176",1,0,0,16,18,40,0,1,3,0,"Jeff","Hertzog","4124 Byrd Lane",87102
"177",1,0,0,18,19,43,1,1,3,0,"Dorothy","Summers","3347 Parker Drive",44115
"178",1,0,0,15,12,33,0,1,3,0,"Jerry","Rondeau","884 Conifer Drive",98168
"179",1,0,0,12,42,60,1,1,3,0,"Heather","Dunn","4001 Clinton Street",72046
"180",1,0,0,12,34,52,0,1,3,1,"Robert","Pastrana","4515 Radford Street",40242
"181",1,0,0,18,29,53,0,1,3,0,"Carlton","Newberry","2598 Irish Lane",53562
"182",1,0,0,16,8,30,0,0,3,1,"Robert","Fernandez","3380 Ferguson Street",1757
"183",1,1,0,18,13,37,0,0,3,0,"Richard","Ballard","3884 Sugarfoot Lane",46225
"184",1,0,0,16,10,32,0,0,3,0,"Stephen","McCusker","1415 Clair Street",76102
"185",1,0,0,16,22,44,0,1,3,0,"Sergio","Garrison","750 Buckhannan Avenue",13224
"186",1,0,0,16,10,32,0,1,3,1,"William","Kramer","4881 Christie Way",2199
"187",1,0,0,17,15,38,1,1,3,0,"Myrna","Anderson","242 Renwick Drive",19034
"188",1,0,0,12,26,44,0,1,3,0,"Kristopher","Carter","1720 Byrd Lane",87020
"189",1,0,0,14,16,36,0,0,3,0,"Charles","Lund","2231 Farm Meadow Drive",37209
"190",1,0,0,18,14,38,1,1,3,0,"Judy","Deyoung","1281 Elmwood Avenue",85225
"191",1,0,0,12,38,56,1,1,3,0,"Bonnie","Weight","827 Mulberry Avenue",72211
"192",1,0,0,12,14,32,0,1,1,1,"Gary","Champion","771 Browning Lane",13101
"193",1,0,0,12,7,25,1,1,3,0,"Phyllis","Garrido","1669 Watson Street",8052
"194",1,0,0,18,13,37,1,0,3,1,"Vanessa","Johnson","3648 Pheasant Ridge Road",19103
"195",1,0,0,10,20,36,0,1,3,0,"Michael","Carlson","3975 Feathers Hooves Drive",11714
"196",1,0,1,16,7,29,0,1,2,0,"William","Hunter","1512 Pineview Drive",51347
"197",1,0,0,16,26,48,1,1,3,0,"Elaine","Meadows","3531 Oakdale Avenue",33825
"198",1,0,0,16,14,36,0,1,3,0,"Theodore","Holbrook","2499 Oakdale Avenue",33823
"199",1,0,0,13,36,55,0,0,3,0,"Robert","Okamoto","2638 Bridge Avenue",70583
"200",1,0,0,12,24,42,0,1,3,0,"Daniel","Whitehair","574 Frederick Street",95823
"201",1,0,0,14,41,61,0,1,3,1,"Jason","Volpe","252 McDowell Street",37052
"202",1,0,0,16,7,29,0,1,1,0,"Alan","Montes","3847 Fraggle Drive",60173
"203",1,0,0,17,14,37,0,0,3,1,"Joshua","Agar","4747 Franklin Avenue",78476
"204",1,0,0,12,1,19,1,0,3,1,"Ella","Gardner","4100 Clark Street",60515
"205",1,1,0,16,6,28,1,1,3,0,"Joyce","Armstrong","227 Cost Avenue",20027
"206",1,0,0,12,3,21,1,1,3,0,"Patricia","Harding","2959 Edwards Street",28560
"207",1,0,0,15,31,52,0,1,3,0,"Robert","Despain","3800 Centennial Farm Road",51249
"208",1,1,0,13,14,33,1,1,3,0,"Ruth","Ceballos","4444 Ben Street",12210
"209",1,0,0,14,13,33,1,1,3,0,"Louise","McMahon","3091 Jones Avenue",27265
"210",1,1,1,16,26,48,0,1,1,0,"Bernard","Harris","4918 Melm Street",2852
"211",1,0,0,18,14,38,0,1,3,0,"Edward","Johnson","3154 Pointe Lane",33024
"212",2,0,0,13,33,52,1,1,3,0,"Patricia","Gross","2351 Roy Alley",80123
"213",2,0,0,12,16,34,0,1,3,0,"Whitney","Ash","870 Del Dew Drive",20770
"214",2,0,0,18,10,34,0,1,3,0,"John","Salazar","2872 Garrett Street",19108
"215",2,0,0,14,22,42,0,0,3,0,"Joseph","Schley","2670 Gore Street",77006
"216",2,0,0,14,2,22,0,0,3,0,"Christian","Finnell","2868 Rosewood Lane",10016
"217",2,0,0,12,29,47,1,1,3,1,"Regina","Winn","681 Thunder Road",94063
"218",2,1,0,12,43,61,0,1,3,0,"Shannon","Bobbitt","2620 Pyramid Valley Road",52632
"219",2,0,0,12,5,23,1,1,3,0,"Wanda","Speed","1723 Thomas Street",60062
"220",2,0,0,16,14,36,1,1,1,1,"Alexandra","Snavely","3700 Clement Street",30303
"221",2,0,0,12,28,46,0,1,3,1,"Harry","Hedley","3588 Hiney Road",58374
"222",2,0,0,11,25,42,1,1,1,1,"April","Tyler","2662 Fancher Drive",75212
"223",2,0,0,12,45,63,1,1,3,0,"Juanita","Cox","2756 Boone Street",77995
"224",2,0,0,14,5,25,0,0,3,1,"Manuel","Moore","3430 Parker Drive",44115
"225",2,1,0,12,20,38,0,1,3,1,"Kyle","Williamson","1070 Briarwood Road",64769
"226",2,0,0,16,6,28,1,1,3,0,"Judith","Brunner","4783 Church Street",11201
"227",2,0,0,16,16,38,0,1,3,0,"Sylvester","Duffy","969 Tanglewood Road",38801
"228",2,0,0,11,33,50,1,1,3,0,"Paula","Brownlee","4911 Barrington Court",72024
"229",2,0,0,13,2,21,1,1,3,1,"Elizabeth","Murphy","2458 Sycamore Lake Road",54304
"230",2,0,0,12,10,28,1,0,3,1,"Vivian","Wood","70 Diamond Street",28801
"231",2,0,0,14,44,64,0,1,3,1,"Anthony","Shelton","3125 Bates Brothers Road",43081
"232",2,0,0,14,6,26,1,1,3,1,"Andrea","Cole","837 Leroy Lane",57702
"233",2,0,0,12,15,33,1,0,3,0,"Kara","Dykema","1939 Pheasant Ridge Road",19103
"234",2,0,0,12,5,23,0,1,3,0,"William","Jefferson","4304 Neuport Lane",30084
"235",2,1,0,13,4,23,1,1,3,0,"Bethany","Estep","1620 Bridge Avenue",70663
"236",2,0,0,14,14,34,0,1,3,0,"Evan","Muro","1194 Bassel Street",70123
"237",2,0,0,14,32,52,1,1,3,0,"Cheri","Ochoa","3650 Boring Lane",94005
"238",2,0,0,12,14,32,1,1,3,0,"Darlene","Scott","4783 Hardesty Street",12207
"239",2,0,0,14,21,41,0,1,3,0,"Vernon","Doyle","32 Ridenour Street",33064
"240",2,0,1,12,43,61,0,1,3,0,"Timothy","Dowd","1678 Alexander Drive",76259
"241",2,0,0,12,27,45,1,1,1,1,"Melba","Hunter","3259 Jennifer Lane",27601
"242",2,0,0,12,4,22,1,0,3,0,"Victoria","Butler","1480 Sampson Street",80136
"243",2,0,0,14,0,20,0,0,2,0,"Stephen","Smith","3556 Leo Street",80203
"244",2,0,0,12,32,50,0,1,3,1,"Eric","Basnight","706 Robinson Lane",43055
"245",2,0,0,12,20,38,0,1,3,0,"Carmen","Estep","641 Grand Avenue",32801
"246",2,0,0,15,4,25,0,0,3,1,"Ramon","Campbell","357 Rosebud Avenue",72675
"247",2,0,0,12,34,52,0,1,3,0,"Terry","Posada","2040 Golden Street",33056
"248",2,0,0,13,5,24,0,0,3,0,"Louis","Payne","1131 Warner Street",33137
"249",2,1,0,17,13,36,0,1,3,0,"Claude","Branham","146 Clover Drive",81008
"250",3,0,0,14,17,37,1,1,2,0,"Rachel","Whitman","3055 Joanne Lane",1821
"251",3,0,0,13,10,29,1,1,3,1,"Vera","Hower","4030 Nickel Road",90017
"252",3,0,0,16,7,29,1,1,3,0,"Mary","Moreno","261 Crummit Lane",68508
"253",3,0,0,12,25,43,1,0,3,0,"Emma","Carver","208 Eden Drive",23060
"254",3,0,0,12,18,36,1,1,1,0,"Kimberli","Lopez","847 Spadafore Drive",16501
"255",3,1,0,16,27,49,1,1,3,0,"Heather","Stevenson","4606 State Street",63146
"256",3,0,0,16,2,24,1,0,3,0,"Lisa","Ince","1944 Stoney Lane",75202
"257",3,0,0,13,13,32,0,1,3,0,"Kenneth","Contreras","3554 Maple Avenue",95202
"258",3,0,0,14,24,44,1,0,3,0,"Charlene","Bolton","1737 South Street",79701
"259",3,0,0,18,13,37,1,1,2,1,"Dorothy","Heard","2454 Glenview Drive",78401
"260",3,0,1,14,15,35,1,0,3,0,"Jackie","Cervantez","1816 Washburn Street",70802
"261",3,0,0,12,12,30,1,0,2,1,"Mary","Reece","716 Norma Lane",71254
"262",3,0,0,12,24,42,1,1,3,0,"Kelly","Freeman","2721 Rocket Drive",55410
"263",3,2,0,12,43,61,1,1,3,0,"Frederica","Jefferson","2910 Dane Street",99201
"264",3,1,0,12,13,31,1,1,3,0,"Lavon","Davis","1513 Dancing Dove Lane",11590
"265",3,0,0,12,16,34,1,1,3,1,"Abby","Robertson","4420 Columbia Mine Road",26047
"266",3,0,0,11,24,41,1,1,3,0,"Teresa","Miller","2466 Centennial Farm Road",51301
"267",3,0,0,16,4,26,1,1,3,1,"Nicole","Hurt","1144 Lakeland Terrace",48180
"268",3,0,0,12,24,42,1,1,3,0,"Theresa","Thomas","3525 Lena Lane",39212
"269",3,0,0,12,45,63,1,1,3,0,"Crystal","Fuller","2356 Front Street",48219
"270",3,0,1,12,20,38,0,1,3,0,"Patrick","Duncan","895 Hall Valley Drive",24954
"271",3,0,0,12,38,56,1,1,3,0,"Eleanor","Pena","159 Owen Lane",49503
"272",3,0,0,18,10,34,0,1,3,1,"Troy","Best","3265 Euclid Avenue",93401
"273",3,0,0,11,16,33,1,1,1,0,"Margaret","Johnson","2095 Farm Meadow Drive",38574
"274",3,0,0,12,32,50,1,1,1,1,"Tania","Llewellyn","2275 Wyatt Street",33432
"275",3,0,0,16,2,24,1,0,3,1,"Jenny","Johnson","2365 Bloomfield Way",4330
"276",3,0,0,13,28,47,1,0,3,1,"Sheena","Wash","428 Geraldine Lane",10004
"277",3,0,0,16,3,25,0,0,1,0,"George","Hammett","2239 Leroy Lane",41501
"278",3,0,1,13,8,27,1,0,3,0,"Judy","Garden","165 Columbia Boulevard",21030
"279",3,1,0,12,44,62,1,1,3,0,"Yvette","Magill","3128 Matthews Street",60115
"280",3,0,0,12,12,30,0,1,3,1,"William","Zoller","4550 Bond Street",2905
"281",3,0,0,12,8,26,0,1,1,1,"Timothy","Brown","2636 Hurry Street",22471
"282",3,0,0,12,4,22,1,1,3,0,"Janet","Perry","2945 Davis Court",62821
"283",3,0,0,12,28,46,1,1,3,1,"Teresa","Ross","3137 Bel Meadow Drive",92401
"284",3,0,0,13,0,19,1,0,3,1,"Corinne","Bailey","4828 Horizon Circle",98423
"285",3,0,0,14,1,21,0,0,3,1,"James","Johnston","1192 Centennial Farm Road",51467
"286",3,1,0,14,12,32,1,1,3,0,"Carrie","Rivera","4095 Woodbridge Lane",48150
"287",3,0,0,12,39,57,1,1,3,0,"Teresa","Hall","1984 Polk Street",85712
"288",3,0,0,12,24,42,1,1,3,0,"Margret","Downs","4147 Andell Road",37201
"289",3,0,0,17,32,55,1,1,1,0,"Lena","Roman","2142 Capitol Avenue",47374
"290",3,0,0,16,4,26,0,0,1,0,"Lyle","Dedeaux","4067 Edsel Road",90017
"291",3,0,0,12,25,43,1,0,1,0,"Nancy","Muse","1861 Gladwell Street",75247
"292",3,0,0,12,8,26,0,0,1,0,"Edward","Gough","4010 Terry Lane",32905
"293",3,0,0,13,16,35,1,1,3,0,"Alberta","Brooks","1310 Masonic Drive",59050
"294",3,0,0,12,5,23,0,0,3,1,"Jamie","Sherrard","4071 Woodland Drive",51106
