"ID","FNAME","LNAME","SEX","AGE","ADDRESS","ZIPCODE","WAGE"
"99","Dorothy","White",1,37,"810 Filbert Street",19103,6.74439487812818
"100","Jeffrey","Nunez",0,33,"1505 Poplar Lane",33165,7.39255493117077
"101","Dustin","Clifton",0,30,"4284 Trainer Avenue",52803,6.43241094392991
"102","Anthony","Tillman",0,28,"2852 Hill Croft Farm Road",95926,2.48182746153725
"103","Dan","Lander",0,26,"1745 Sunrise Road",89119,8.92061617886389
"104","Randy","Jones",0,41,"4035 Sharon Lane",46563,8.8960551178015
"105","Kelly","Clark",1,33,"1567 Lena Lane",39157,6.37087582329525
"106","Randall","Sosie",0,27,"2836 Virginia Street",60062,8.11437562455798
"107","Harrison","Parin",0,41,"1940 Elk City Road",71101,8.89404692172464
"108","James","Sandoval",0,55,"4949 Skips Lane",85553,3.08405096471983
"109","George","Sandifer",0,22,"3519 Ridge Road",67330,7.93697832790644
"110","Roger","Milburn",0,56,"4991 Graystone Lakes",31213,8.40989728288017
"111","Rodney","Hudson",0,29,"508 Maud Street",19801,6.72617479166302
"112","Danny","Geis",0,29,"2907 Northwest Boulevard",20008,5.16221128178549
"113","Alfred","Peterson",0,58,"3252 Hartland Avenue",54303,9.45797053520788
"114","Otis","Klein",0,26,"2474 Traction Street",29339,9.65786825016946
"115","Elie","Shutt",0,46,"305 Tanglewood Road",38654,8.75597865036353
"116","Nicholas","Williams",0,25,"3434 Court Street",63146,7.78706716682629
"117","Phil","Gustavson",0,28,"2363 Abner Road",54487,7.46971276877285
"118","Rob","Moor",0,30,"4368 Pleasant Hill Road",90706,7.92744193835498
"119","Sarah","Bowser",1,36,"560 Collins Avenue",43215,9.80093596156853
"120","Alexander","Perez",0,30,"4871 Charmaine Lane",79373,7.24586935582771
"121","Scott","Skidmore",0,25,"1513 Ashmor Drive",56501,8.52920178641287
"122","Gina","Stimpson",1,33,"3324 Marie Street",20707,8.97010379547903
"123","Peter","Howard",0,46,"3639 Lady Bug Drive",81212,9.44164542838955
"124","Norman","Driscoll",0,38,"4684 Palmer Road",43085,10.8967321277602
"125","Matthew","Rife",0,24,"4536 Waterview Lane",87109,7.06102652327442
"126","Manuel","Zamorano",0,23,"2266 Bel Meadow Drive",91761,6.90960449536105
"127","Blanche","Stephens",1,45,"2528 Blane Street",63104,5.6098444742841
"128","Hugh","Allison",0,37,"2236 Sussex Court",76541,9.24908604602921
"129","Berniece","Costello",1,24,"4730 Leverton Cove Road",1109,3.98978527116547
"130","Alejandro","O'Neill",0,34,"2309 Eden Drive",23803,9.12767721305031
"131","Richard","Easterwood",0,19,"2404 Seltice Way",83814,5.4606457400712
"132","Santos","Anderson",0,21,"1605 Woodhill Avenue",20705,8.00568586689415
"133","George","Kittelson",0,26,"2947 McDonald Avenue",32803,6.93621393802531
"134","Daren","Baker",0,22,"1753 Jim Rosa Lane",94920,8.02933716646858
"135","Derrick","Moorris",0,31,"885 Hall Street",89101,5.18613644027709
"136","Shane","Cooper",0,25,"3425 Grasselli Street",5101,7.25559033824346
"137","Joseph","Kipp",0,20,"2205 Blackwell Street",99737,5.57133340369129
"138","Clarence","Nathaniel",0,56,"770 Hayhurst Lane",48219,5.88547871007173
"139","Daniel","Bingham",0,53,"1760 Johnny Lane",53202,8.5271537605155
"140","Michael","Knight",0,27,"1060 Bingamon Branch Road",10990,8.07998322364648
"141","Gregory","Long",0,30,"2082 Tanglewood Road",39337,8.02386778415286
"142","Scott","Kish",0,36,"163 Cardinal Lane",44115,10.1590605289173
"143","Scotty","Mitchell",0,32,"1703 West Fork Drive",33176,7.50436159281614
"144","Roy","Brewer",0,45,"4774 Rollins Road",69346,9.48244852000303
"145","William","Sokolowski",0,43,"4400 Adams Avenue",20707,6.68629461303845
"146","Tim","Greenwood",0,56,"673 Deer Ridge Drive",7201,8.64145583368568
"147","Judi","Bradley",1,21,"1930 Timberbrook Lane",80202,3.63227991332827
"148","Sheldon","Loove",0,59,"2229 Westwood Avenue",11716,11.7237894742274
"149","Frank","Taner",0,34,"3053 Haul Road",94041,9.10763052414584
"150","Lynne","Phillips",0,26,"3208 Hillhaven Drive",90063,4.86491583929534
"151","Annie","Moore",1,45,"3509 Weekley Street",78205,3.47521615791165
"152","Harold","Arthur",0,45,"47 Chestnut Street",34642,10.0090605526556
"153","Dan","Kincer",0,23,"3809 Pride Avenue",11206,6.03840370943533
"154","James","Gary",0,37,"2131 Heavner Avenue",30071,8.69384412169555
"155","Francis","Ulmer",0,19,"1837 Payne Street",24641,5.48352015180979
"156","John","Bertsch",0,31,"2893 Point Street",60620,7.31496492886056
"157","Albert","Marshall",0,40,"1892 Ray Court",28401,15.1056450656449
"158","Barry","Hamrick",0,41,"24 Ben Street",12205,10.7098360352638
"159","Robert","Holle",0,22,"1716 Birch  Street",79924,8.28020412446791
"160","Angela","Perkins",1,22,"4588 Center Street",97401,7.27467182166419
"161","Alison","Steck",1,48,"2406 Marshall Street",21218,9.73882735677589
"162","Christopher","Sartor",0,51,"2487 Bridge Avenue",70658,10.6176210204777
"163","Phyllis","Barnett",1,36,"4110 Luke Lane",74601,9.0716253355043
"164","Juan","McGhee",0,35,"4430 Small Street",10017,9.31929401135495
"165","Edna","Allen",1,46,"2564 Lakeland Park Drive",30501,9.79182725687869
"166","Matthew","Elms",0,31,"266 Hilltop Haven Drive",7102,11.3845645480826
"167","Julio","Toribio",0,30,"4251 Pineview Drive",56042,9.13595836501468
"168","Wesley","Bates",0,22,"3939 Armbrester Drive",90505,12.4048961935574
"169","Scott","Hollingshead",0,55,"3670 John Avenue",49201,14.8830330551526
"170","Jennifer","Sorenson",1,42,"3458 Better Street",64105,7.13657111906624
"171","Dorcas","Tillotson",1,21,"3970 Myra Street",2904,8.34508061392445
"172","Jose","Huffman",0,60,"1920 Platinum Drive",15205,10.5380001878824
"173","Betty","Smith",1,25,"778 Goldcliff Circle",20005,5.85190723619305
"174","Lorena","Reedy",1,50,"2802 Larry Street",53233,9.34657666609082
"175","Thomas","Schafer",0,42,"2785 Hoffman Avenue",10013,11.7687989981165
"176","Jeff","Hertzog",0,40,"4124 Byrd Lane",87102,11.5976136356663
"177","Dorothy","Summers",1,43,"3347 Parker Drive",44115,13.1699443103905
"178","Jerry","Rondeau",0,33,"884 Conifer Drive",98168,10.4111017798129
"179","Heather","Dunn",1,60,"4001 Clinton Street",72046,8.94119990371597
"180","Robert","Pastrana",0,52,"4515 Radford Street",40242,10.5577965036308
"181","Carlton","Newberry",0,53,"2598 Irish Lane",53562,16.2594458549335
"182","Robert","Fernandez",0,30,"3380 Ferguson Street",1757,8.16524660133751
"183","Richard","Ballard",0,37,"3884 Sugarfoot Lane",46225,15.6422106327133
"184","Stephen","McCusker",0,32,"1415 Clair Street",76102,9.92250043810277
"185","Sergio","Garrison",0,44,"750 Buckhannan Avenue",13224,15.8165247094191
"186","William","Kramer",0,32,"4881 Christie Way",2199,14.7101729212467
"187","Myrna","Anderson",1,38,"242 Renwick Drive",19034,13.2018578420242
"188","Kristopher","Carter",0,44,"1720 Byrd Lane",87020,7.91308901433287
"189","Charles","Lund",0,36,"2231 Farm Meadow Drive",37209,10.3555597329638
"190","Judy","Deyoung",1,38,"1281 Elmwood Avenue",85225,12.533754168512
"191","Bonnie","Weight",1,56,"827 Mulberry Avenue",72211,9.21609298925975
"192","Gary","Champion",0,32,"771 Browning Lane",13101,10.1241342958926
"193","Phyllis","Garrido",1,25,"1669 Watson Street",8052,5.48879647613889
"194","Vanessa","Johnson",1,37,"3648 Pheasant Ridge Road",19103,10.1077785483903
"195","Michael","Carlson",0,36,"3975 Feathers Hooves Drive",11714,6.62974704737437
"196","William","Hunter",0,29,"1512 Pineview Drive",51347,14.1803192564847
"197","Elaine","Meadows",1,48,"3531 Oakdale Avenue",33825,11.8219414221188
"198","Theodore","Holbrook",0,36,"2499 Oakdale Avenue",33823,13.6882850700663
"199","Robert","Okamoto",0,55,"2638 Bridge Avenue",70583,11.5922162544092
"200","Daniel","Whitehair",0,42,"574 Frederick Street",95823,10.2148229115145
"201","Jason","Volpe",0,61,"252 McDowell Street",37052,14.4546118164481
"202","Alan","Montes",0,29,"3847 Fraggle Drive",60173,9.22517670442823
"203","Joshua","Agar",0,37,"4747 Franklin Avenue",78476,12.0372071917213
"204","Ella","Gardner",1,19,"4100 Clark Street",60515,5.34543991645749
"205","Joyce","Armstrong",1,28,"227 Cost Avenue",20027,10.4011596266972
"206","Patricia","Harding",1,21,"2959 Edwards Street",28560,6.93849487514424
"207","Robert","Despain",0,52,"3800 Centennial Farm Road",51249,13.6819760917125
"208","Ruth","Ceballos",1,33,"4444 Ben Street",12210,7.42592175437399
"209","Louise","McMahon",1,33,"3091 Jones Avenue",27265,9.91244146742095
"210","Bernard","Harris",0,48,"4918 Melm Street",2852,17.1264350350733
"211","Edward","Johnson",0,38,"3154 Pointe Lane",33024,14.9149256539263
"212","Patricia","Gross",1,52,"2351 Roy Alley",80123,8.47291379202974
"213","Whitney","Ash",0,34,"870 Del Dew Drive",20770,9.33125509146039
"214","John","Salazar",0,34,"2872 Garrett Street",19108,11.5265086382823
"215","Joseph","Schley",0,42,"2670 Gore Street",77006,8.87601095863924
"216","Christian","Finnell",0,22,"2868 Rosewood Lane",10016,5.40514282133776
"217","Regina","Winn",1,47,"681 Thunder Road",94063,4.87954603985059
"218","Shannon","Bobbitt",0,61,"2620 Pyramid Valley Road",52632,7.75120505123319
"219","Wanda","Speed",1,23,"1723 Thomas Street",60062,4.15872597397074
"220","Alexandra","Snavely",1,36,"3700 Clement Street",30303,5.7657549563098
"221","Harry","Hedley",0,46,"3588 Hiney Road",58374,10.1432863996634
"222","April","Tyler",1,42,"2662 Fancher Drive",75212,5.05754092765678
"223","Juanita","Cox",1,63,"2756 Boone Street",77995,7.93191988868459
"224","Manuel","Moore",0,25,"3430 Parker Drive",44115,5.53615514772908
"225","Kyle","Williamson",0,38,"1070 Briarwood Road",64769,7.21236207033723
"226","Judith","Brunner",1,28,"4783 Church Street",11201,5.38327143854428
"227","Sylvester","Duffy",0,38,"969 Tanglewood Road",38801,12.088854538894
"228","Paula","Brownlee",1,50,"4911 Barrington Court",72024,4.43738736418922
"229","Elizabeth","Murphy",1,21,"2458 Sycamore Lake Road",54304,2.33110899478097
"230","Vivian","Wood",1,28,"70 Diamond Street",28801,4.78654070699652
"231","Anthony","Shelton",0,64,"3125 Bates Brothers Road",43081,10.3114149148171
"232","Andrea","Cole",1,26,"837 Leroy Lane",57702,8.15449297887805
"233","Kara","Dykema",1,33,"1939 Pheasant Ridge Road",19103,6.8841997446923
"234","William","Jefferson",0,23,"4304 Neuport Lane",30084,3.82797822326462
"235","Bethany","Estep",1,23,"1620 Bridge Avenue",70663,5.69152140552989
"236","Evan","Muro",0,34,"1194 Bassel Street",70123,9.24944137773724
"237","Cheri","Ochoa",1,52,"3650 Boring Lane",94005,10.4275504673082
"238","Darlene","Scott",1,32,"4783 Hardesty Street",12207,6.36491332833815
"239","Vernon","Doyle",0,41,"32 Ridenour Street",33064,8.66403771749037
"240","Timothy","Dowd",0,61,"1678 Alexander Drive",76259,9.70471135567615
"241","Melba","Hunter",1,45,"3259 Jennifer Lane",27601,5.73479753075691
"242","Victoria","Butler",1,22,"1480 Sampson Street",80136,2.77078623191073
"243","Stephen","Smith",0,20,"3556 Leo Street",80203,8.42487195703342
"244","Eric","Basnight",0,50,"706 Robinson Lane",43055,6.8474963089439
"245","Carmen","Estep",0,38,"641 Grand Avenue",32801,5.91075514039603
"246","Ramon","Campbell",0,25,"357 Rosebud Avenue",72675,7.51657639934157
"247","Terry","Posada",0,52,"2040 Golden Street",33056,5.94857680238417
"248","Louis","Payne",0,24,"1131 Warner Street",33137,4.74897654194825
"249","Claude","Branham",0,36,"146 Clover Drive",81008,10.0730848424172
"250","Rachel","Whitman",1,37,"3055 Joanne Lane",1821,7.47347803999663
"251","Vera","Hower",1,29,"4030 Nickel Road",90017,6.23061196486347
"252","Mary","Moreno",1,29,"261 Crummit Lane",68508,9.09292277026307
"253","Emma","Carver",1,43,"208 Eden Drive",23060,7.23070268380324
"254","Kimberli","Lopez",1,36,"847 Spadafore Drive",16501,7.47966911375521
"255","Heather","Stevenson",1,49,"4606 State Street",63146,8.41362926481943
"256","Lisa","Ince",1,24,"1944 Stoney Lane",75202,6.01065147906816
"257","Kenneth","Contreras",0,32,"3554 Maple Avenue",95202,7.58599053175304
"258","Charlene","Bolton",1,44,"1737 South Street",79701,5.22435898705551
"259","Dorothy","Heard",1,37,"2454 Glenview Drive",78401,9.6029860166898
"260","Jackie","Cervantez",1,35,"1816 Washburn Street",70802,6.3283588890149
"261","Mary","Reece",1,30,"716 Norma Lane",71254,6.61408172104303
"262","Kelly","Freeman",1,42,"2721 Rocket Drive",55410,9.10709003144249
"263","Frederica","Jefferson",1,61,"2910 Dane Street",99201,6.21875740450618
"264","Lavon","Davis",1,31,"1513 Dancing Dove Lane",11590,6.3984364878217
"265","Abby","Robertson",1,34,"4420 Columbia Mine Road",26047,6.4296386293826
"266","Teresa","Miller",1,41,"2466 Centennial Farm Road",51301,6.22164474289525
"267","Nicole","Hurt",1,26,"1144 Lakeland Terrace",48180,7.13668669800435
"268","Theresa","Thomas",1,42,"3525 Lena Lane",39212,5.91065298321865
"269","Crystal","Fuller",1,63,"2356 Front Street",48219,6.00187983926844
"270","Patrick","Duncan",0,38,"895 Hall Valley Drive",24954,11.5734054736857
"271","Eleanor","Pena",1,56,"159 Owen Lane",49503,8.08539860421654
"272","Troy","Best",0,34,"3265 Euclid Avenue",93401,10.0636358136719
"273","Margaret","Johnson",1,33,"2095 Farm Meadow Drive",38574,6.17874185839914
"274","Tania","Llewellyn",1,50,"2275 Wyatt Street",33432,7.87123989116594
"275","Jenny","Johnson",1,24,"2365 Bloomfield Way",4330,6.02779400604976
"276","Sheena","Wash",1,47,"428 Geraldine Lane",10004,5.83972157395064
"277","George","Hammett",0,25,"2239 Leroy Lane",41501,6.61016457388248
"278","Judy","Garden",1,27,"165 Columbia Boulevard",21030,7.14573524106677
"279","Yve","Mcgill",1,62,"3128 Matthews Street",60115,9.43847998978426
"280","Will","Zoller",0,30,"4550 Bond Street",2905,7.6496392239243
"281","Tim","Brown",0,26,"2636 Hurry Street",22471,7.71139551199108
"282","Janet","Perry",1,22,"2945 Davis Court",62821,4.15431294617887
"283","Teresa","Ross",1,46,"3137 Bel Meadow Drive",92401,8.60112083132798
"284","Corinne","Bailey",1,19,"4828 Horizon Circle",98423,4.84054921764965
"285","James","Johnston",0,21,"1192 Centennial Farm Road",51467,4.72029521879852
"286","Carrie","Rivera",1,32,"4095 Woodbridge Lane",48150,6.92763750531164
"287","Teresa","Hall",1,57,"1984 Polk Street",85712,6.67264844382358
"288","Margret","Downs",1,42,"4147 Andell Road",37201,7.76508458535738
"289","Lena","Roman",1,55,"2142 Capitol Avenue",47374,8.9556350663989
"290","Lyle","Dedeaux",0,26,"4067 Edsel Road",90017,8.20814582843327
"291","Nancy","Muse",1,43,"1861 Gladwell Street",75247,5.50011443565771
"292","Edward","Gough",0,26,"4010 Terry Lane",32905,8.11147894314406
"293","Alberta","Brooke",1,35,"1310 Masonic Drive",59050,6.34219452862126
"294","Jamie","Sherrard",0,23,"4071 Woodland Drive",51106,5.97313176139349
"295","Thomas","Erickson",0,50,"928 Harley Vincent Drive",44139,8.23195466105677
"296","Dorisse","Smith",1,43,"2092 Frum Street",37203,9.63535612266399
"297","Anjela","Berman",1,33,"869 Willison Street",55429,7.49346930595616
"298","Janice","McGee",1,35,"2463 August Lane",71201,7.47828910518339
"299","Carla","Davis",1,18,"3926 Alexander Drive",76201,3.51469943692175
"300","Landon","Coffman",0,37,"1478 Wood Duck Drive",49916,9.98442645452245
"301","Ethelene","Myers",1,39,"2254 Tree Frog Lane",64070,4.89397475010772
"302","Connie","Meyer",1,24,"1211 University Drive",60606,7.39202282150654
"303","Pearl","Vargas",1,32,"2505 Freshour Circle",78258,9.39216257786813
"304","Dianne","Todd",1,49,"1456 Midway Road",72936,7.59426444574611
"305","Robin","Thompson",1,26,"4219 Big Elm",66214,7.80199318616632
"306","William","Young",0,48,"1341 Asylum Avenue",6103,7.23955797327248
"307","Willard","Sanford",0,35,"3090 Winifred Way",46041,9.57215845211994
"308","Lisa","Bogard",1,38,"891 Mulberry Lane",33301,7.31702509236096
"309","Cassandra","McKnight",1,25,"3944 Coal Street",16823,4.58540054946126
"310","Katy","Theriault",1,28,"4359 Jarvisville Road",11101,7.56851387186243
"311","Paula","McKenzie",1,20,"2326 Adams Avenue",20701,6.65083975453353
"312","Charles","Morgan",0,20,"4705 Broadway Avenue",37377,4.93204217559686
"313","Mary","Martin",1,19,"3321 Fittro Street",72211,4.96821595361117
"314","John","Bostic",0,39,"4772 Jones Avenue",27101,10.3836078210783
"315","Thanh","Smith",1,26,"1029 Skips Lane",85901,3.59545028411051
"316","Harry","Sloane",0,22,"644 Ferguson Street",1610,6.500989531952
"317","Marissa","Hoke",1,33,"3948 Whiteman Street",8214,7.02812212364011
"318","Patricia","Daly",1,47,"1008 Walkers Ridge Way",91744,8.96468925159217
"319","Rosa","Nies",1,41,"2270 Peaceful Lane",44125,6.48393890513984
"320","Robin","Mayo",1,57,"4821 Rosewood Court",56101,4.86930658799754
"321","Olive","Mendelsohn",1,32,"737 Marion Street",5868,5.79957128896688
"322","Martha","Cummings",1,29,"693 Woodridge Lane",38017,7.61855603072344
"323","Ty","Miller",0,32,"1352 Hanifan Lane",30076,8.93812170436596
"324","Paula","Lee",1,44,"4586 Gateway Avenue",93301,4.48297841272827
"325","Sarah","White",1,52,"3288 Kuhl Avenue",30303,7.85096229313406
"326","Robin","Turner",1,27,"2331 Del Dew Drive",20024,5.29879140120934
"327","Waltraud","Simon",1,58,"2308 Charack Road",47201,8.40753585804171
"328","Jessica","Jackson",1,36,"239 Lilac Lane",31401,5.09470262620089
"329","Edith","Moreno",1,29,"4743 Cityview Drive",19457,3.60048396498912
"330","Estelle","Downs",1,54,"1186 Formula Lane",75234,5.34112829667563
"331","Eva","Braxton",1,37,"2983 Murphy Court",92370,6.31347473297844
"332","Michelle","Thomason",1,64,"2169 Alfred Drive",11234,6.95905245817994
"333","Hiroko","Boggs",1,21,"2324 Cambridge Drive",85027,3.17977806495234
"334","Monika","Kennedy",1,51,"806 Spring Haven Trail",7470,9.11604490194139
"335","Kay","Langhorne",1,32,"4616 Edwards Street",27804,6.01080279250866
"336","Jackson","Christiansen",0,40,"3939 Radio Park Drive",31903,6.88322925537785
"337","Lupe","Parrish",1,38,"2431 Cimmaron Road",92680,7.6719889958786
"338","Reatha","Benton",1,33,"735 Riverside Drive",30643,3.38082066356669
"339","Daniel","Gonzalez",0,53,"365 Cinnamon Lane",78217,8.51274004460963
"340","Maria","Barton",1,25,"4757 Seth Street",78672,5.65035056494544
"341","Sandra","Park",1,63,"1077 Whitman Court",6511,5.65912158236298
"342","Marlyn","Earls",1,27,"1204 Bombardier Way",43085,7.14186468606927
"343","Grace","McGowan",1,20,"4402 Wines Lane",77032,5.9029667358759
"344","John","Fernandez",0,26,"1947 Formula Lane",75207,7.43154269820051
"345","Kim","Wright",1,39,"1209 Yorkie Lane",31405,10.4527739048186
"346","Ronda","Riverra",1,32,"3444 Weekley Street",78212,3.82483070447504
"347","Clarence","Richards",0,64,"4391 Jehovah Drive",22401,3.04926286469673
"348","Al","Murphy",0,37,"4271 Logan Lane",80202,8.23400077180523
"349","Patricia","Waldrep",1,43,"4045 Havanna Street",27107,4.29290407738601
"350","Karen","Weathers",1,47,"4715 Anmoore Road",11103,6.42006436710482
"351","Kurt","Robertson",0,24,"1430 Rockford Mountain Lane",27577,2.43086151229007
"352","Regina","Riess",1,43,"64 Augusta Park",25504,3.44284340192111
"353","Lavern","Baker",1,37,"376 Holt Street",33401,5.00107220162821
"354","Sandy","Savage",1,54,"2004 Red Dog Road",28202,4.48695034101179
"355","Michelle","Brace",1,51,"581 Wescam Court",89511,3.07948405386408
"356","Hector","McDonald",0,63,"4278 Pike Street",92103,7.62083787226834
